timestamp,filename,seed,num_points,num_frames,clusters,points_per_cluster,randomness_level,vel_magnitude,oscillation_magnitude,oscillation_factor,overlap_factor
2026-02-08T11:47:22.639486,simulations_5/particle_sim_random_1.csv,934246,20,1000,"[0, 1, 2, 3]","[8, 6, 6]",0.2,0.8,0.05,10,1.5
2026-02-08T11:47:22.712095,simulations_5/particle_sim_random_2.csv,41701,20,1000,"[0, 1, 2, 3]","[8, 6, 6]",0.8,0.8,0.05,10,1.5
2026-02-08T11:47:22.789808,simulations_5/particle_sim_random_3.csv,748549,20,1100,"[0, 1, 2, 3]","[8, 6, 6]",0.2,0.8,0.05,10,1.5
2026-02-08T11:47:22.867694,simulations_5/particle_sim_random_4.csv,784083,20,1100,"[0, 1, 2, 3]","[8, 6, 6]",0.8,0.8,0.05,10,1.5
2026-02-08T11:47:22.956346,simulations_5/particle_sim_random_5.csv,537803,20,1200,"[0, 1, 2, 3]","[8, 6, 6]",0.2,0.8,0.05,10,1.5
2026-02-08T11:47:23.040279,simulations_5/particle_sim_random_6.csv,132855,20,1200,"[0, 1, 2, 3]","[8, 6, 6]",0.8,0.8,0.05,10,1.5
2026-02-08T11:47:23.144569,simulations_5/particle_sim_random_7.csv,546711,20,1500,"[0, 1, 2, 3]","[8, 6, 6]",0.2,0.8,0.05,10,1.5
2026-02-08T11:47:23.249080,simulations_5/particle_sim_random_8.csv,185837,20,1500,"[0, 1, 2, 3]","[8, 6, 6]",0.8,0.8,0.05,10,1.5
2026-02-08T11:47:23.395350,simulations_5/particle_sim_random_9.csv,299015,20,2000,"[0, 1, 2, 3]","[8, 6, 6]",0.2,0.8,0.05,10,1.5
2026-02-08T11:47:23.540679,simulations_5/particle_sim_random_10.csv,646908,20,2000,"[0, 1, 2, 3]","[8, 6, 6]",0.8,0.8,0.05,10,1.5
2026-02-08T11:47:23.772276,simulations_5/particle_sim_random_11.csv,967426,20,3000,"[0, 1, 2, 3]","[8, 6, 6]",0.2,0.8,0.05,10,1.5
2026-02-08T11:47:23.994284,simulations_5/particle_sim_random_12.csv,461136,20,3000,"[0, 1, 2, 3]","[8, 6, 6]",0.8,0.8,0.05,10,1.5
