#          STEP          TOTAL        KINETIC      POTENTIAL           HARM          MORSE          ANGLE       DIHEDRAL        NLMORSE
              0       -324.805        173.586        -498.39    8.35018e-10       -367.535         125.31    1.07327e-14       -256.165
           1000       -199.943        174.755       -374.698        53.6165       -310.471        101.737        28.5228       -248.103
           2000       -188.113        180.593       -368.706        72.9718        -315.59        98.1686        24.6798       -248.936
           3000       -192.752        167.557       -360.309        71.9238       -312.481        97.1775        37.4474       -254.377
           4000       -195.528         186.23       -381.758        54.0125       -311.171        98.3088        30.7601       -253.669
           5000       -193.043        183.358       -376.401        61.3687       -314.175        99.6445        31.1005       -254.339
           6000       -206.225        164.712       -370.937        63.4312       -309.379        97.5901        30.8585       -253.437
           7000       -191.186        172.698       -363.884        66.8895       -310.632        98.6899        33.2324       -252.064
           8000       -187.866        174.127       -361.994         64.885       -311.332        101.616        26.4597       -243.623
           9000       -199.411        172.567       -371.979        62.8981       -311.449        92.5155         35.225       -251.168
          10000       -213.235        154.613       -367.848        65.8126        -307.17        94.1641        31.0283       -251.683
          11000       -212.928        165.875       -378.802        53.2921       -311.891        101.902        26.6681       -248.774
          12000        -200.17        166.908       -367.078          61.73       -308.791        106.001        22.8472       -248.865
          13000       -197.907        176.196       -374.103        65.3368       -317.699        103.051        24.0242       -248.816
          14000       -215.735        163.203       -378.938        64.2376       -310.815        96.2935        29.9282       -258.582
          15000       -183.629        173.122       -356.752        67.9786       -303.558        97.6731        32.9134       -251.759
          16000       -214.078        155.569       -369.647        67.7575       -315.847        99.7235        28.7917       -250.072
          17000       -223.466        155.891       -379.357        64.4668       -316.709        94.7088         29.394       -251.218
          18000       -199.739        173.639       -373.378        60.9269       -310.454        104.532        30.8661       -259.249
          19000       -196.403        171.127        -367.53        66.5576       -314.456        98.1844        31.4595       -249.275
          20000       -231.528        158.487       -390.015        58.7966        -316.38        91.5598        27.8335       -251.825
          21000       -202.202        174.039       -376.241        54.7154       -310.268        94.9299        32.2445       -247.862
          22000       -192.438        184.153       -376.591        67.9557       -319.617        97.7917        31.4757       -254.197
          23000       -193.219        171.731       -364.951         63.733       -309.851        100.438         30.425       -249.695
          24000       -176.065        188.111       -364.177        68.0727        -307.95        105.612        29.0356       -258.948
          25000       -200.804         159.97       -360.773        66.7546       -306.938         98.676        32.7064       -251.972
          26000         -170.4        173.135       -343.535        70.4715       -309.399        109.891        36.3982       -250.897
          27000       -190.296        178.824        -369.12        79.1122       -320.898        97.5611        28.8275       -253.723
          28000       -222.909        169.819       -392.727        53.4635        -319.22        95.9416        28.9066       -251.819
          29000       -188.976        169.704        -358.68        67.9328       -306.055        95.5344        29.4686       -245.561
          30000       -196.475        170.134       -366.609        68.1836       -311.643        100.566        28.8654       -252.581
          31000       -217.447        155.583       -373.029         61.529       -313.223        100.406        30.5655       -252.307
          32000       -215.901        164.803       -380.704        52.2648       -316.834        104.065        29.8703       -250.069
          33000       -212.247        169.572       -381.819        55.3216       -317.434        100.702        26.2378       -246.646
          34000       -202.762        166.725       -369.487        66.0128       -317.305        102.589        26.5047       -247.288
          35000       -212.716        169.287       -382.003        61.2996       -314.663        96.8122        28.7684        -254.22
          36000       -216.543        164.667        -381.21        56.6958        -315.64        104.526        30.7181        -257.51
          37000       -197.928        168.228       -366.156        64.6017       -313.047        103.334        29.0502       -250.095
          38000       -206.046        169.115        -375.16         64.231       -313.258        95.1416        31.0912       -252.366
          39000       -208.518        179.449       -387.967        56.8016         -320.3        103.081        27.3367       -254.887
          40000        -184.07        166.093       -350.162        73.1011       -317.048        105.536        33.1857       -244.937
          41000       -209.865        164.014       -373.879        60.2682       -310.596        99.9778        27.3992       -250.928
          42000       -208.514         166.49       -375.004        58.8377       -310.337         91.269        33.0541       -247.828
          43000       -199.411        167.123       -366.534        65.8533       -310.578        101.144        28.0423       -250.996
          44000       -187.904        180.869       -368.773        74.0079       -320.916        100.932        27.9802       -250.777
          45000       -205.272        181.762       -387.034         54.469       -321.432        101.172        28.4607       -249.703
          46000       -211.343        156.739       -368.082        61.1879       -315.846        100.582         33.418       -247.424
          47000       -224.573        156.433       -381.006        53.9084       -314.009        103.765        28.5505       -253.221
          48000       -202.793        170.231       -373.024        65.0433       -314.324        100.488         26.723       -250.954
          49000        -201.58        175.478       -377.058        62.0249       -314.392        107.043        23.6674       -255.401
