frame,id,x,y,cid
0,0,246.35,-70.998,0
0,1,246.379,-70.926,0
0,2,246.408,-70.846,0
0,3,246.395,-71.069,0
0,4,246.392,-71.075,0
0,5,246.373,-71.002,0
0,6,246.473,-70.927,0
0,7,246.169,-70.724,0
0,8,246.304,-70.985,0
0,9,246.374,-71.067,0
1,0,246.306,-70.929,0
1,1,246.328,-70.864,0
1,2,246.353,-70.785,0
1,3,246.362,-70.994,0
1,4,246.361,-70.998,0
1,5,246.336,-70.929,0
1,6,246.418,-70.866,0
1,7,246.097,-70.683,0
1,8,246.25,-70.923,0
1,9,246.327,-71.0,0
2,0,246.242,-70.878,0
2,1,246.26,-70.817,0
2,2,246.295,-70.726,0
2,3,246.311,-70.929,0
2,4,246.32,-70.927,0
2,5,246.284,-70.865,0
2,6,246.35,-70.819,0
2,7,246.024,-70.644,0
2,8,246.185,-70.872,0
2,9,246.268,-70.943,0
3,0,246.178,-70.826,0
3,1,246.187,-70.778,0
3,2,246.227,-70.68,0
3,3,246.251,-70.873,0
3,4,246.259,-70.872,0
3,5,246.215,-70.821,0
3,6,246.279,-70.777,0
3,7,245.953,-70.604,0
3,8,246.118,-70.824,0
3,9,246.204,-70.892,0
4,0,246.114,-70.773,0
4,1,246.114,-70.741,0
4,2,246.154,-70.641,0
4,3,246.186,-70.822,0
4,4,246.2,-70.815,0
4,5,246.145,-70.778,0
4,6,246.214,-70.727,0
4,7,245.884,-70.558,0
4,8,246.05,-70.777,0
4,9,246.133,-70.85,0
5,0,246.049,-70.723,0
5,1,246.042,-70.701,0
5,2,246.078,-70.61,0
5,3,246.123,-70.77,0
5,4,246.136,-70.762,0
5,5,246.079,-70.728,0
5,6,246.146,-70.68,0
5,7,245.825,-70.5,0
5,8,245.993,-70.718,0
5,9,246.067,-70.8,0
6,0,245.983,-70.674,0
6,1,245.975,-70.653,0
6,2,246.006,-70.57,0
6,3,246.059,-70.717,0
6,4,246.062,-70.727,0
6,5,246.012,-70.681,0
6,6,246.087,-70.623,0
6,7,245.765,-70.444,0
6,8,245.931,-70.663,0
6,9,246.002,-70.75,0
7,0,245.921,-70.619,0
7,1,245.92,-70.592,0
7,2,245.948,-70.512,0
7,3,246.001,-70.659,0
7,4,245.995,-70.678,0
7,5,245.948,-70.629,0
7,6,246.03,-70.564,0
7,7,245.715,-70.379,0
7,8,245.87,-70.608,0
7,9,245.942,-70.694,0
8,0,245.87,-70.555,0
8,1,245.866,-70.53,0
8,2,245.889,-70.455,0
8,3,245.949,-70.595,0
8,4,245.935,-70.623,0
8,5,245.881,-70.581,0
8,6,245.973,-70.505,0
8,7,245.667,-70.312,0
8,8,245.822,-70.541,0
8,9,245.887,-70.633,0
9,0,245.82,-70.489,0
9,1,245.812,-70.467,0
9,2,245.832,-70.395,0
9,3,245.893,-70.535,0
9,4,245.873,-70.568,0
9,5,245.83,-70.516,0
9,6,245.915,-70.446,0
9,7,245.622,-70.243,0
9,8,245.77,-70.477,0
9,9,245.834,-70.569,0
10,0,245.768,-70.425,0
10,1,245.765,-70.4,0
10,2,245.787,-70.326,0
10,3,245.838,-70.474,0
10,4,245.829,-70.499,0
10,5,245.778,-70.452,0
10,6,245.86,-70.385,0
10,7,245.588,-70.168,0
10,8,245.722,-70.411,0
10,9,245.783,-70.506,0
11,0,245.718,-70.36,0
11,1,245.722,-70.33,0
11,2,245.742,-70.257,0
11,3,245.782,-70.414,0
11,4,245.781,-70.431,0
11,5,245.738,-70.38,0
11,6,245.812,-70.318,0
11,7,245.559,-70.091,0
11,8,245.682,-70.339,0
11,9,245.734,-70.44,0
12,0,245.684,-70.285,0
12,1,245.686,-70.256,0
12,2,245.697,-70.188,0
12,3,245.749,-70.339,0
12,4,245.736,-70.363,0
12,5,245.706,-70.304,0
12,6,245.772,-70.246,0
12,7,245.523,-70.017,0
12,8,245.645,-70.265,0
12,9,245.694,-70.368,0
13,0,245.652,-70.21,0
13,1,245.646,-70.183,0
13,2,245.664,-70.112,0
13,3,245.715,-70.264,0
13,4,245.697,-70.29,0
13,5,245.676,-70.227,0
13,6,245.732,-70.174,0
13,7,245.48,-69.946,0
13,8,245.611,-70.19,0
13,9,245.661,-70.292,0
14,0,245.612,-70.137,0
14,1,245.607,-70.111,0
14,2,245.628,-70.038,0
14,3,245.679,-70.189,0
14,4,245.668,-70.213,0
14,5,245.646,-70.151,0
14,6,245.704,-70.096,0
14,7,245.451,-69.869,0
14,8,245.572,-70.117,0
14,9,245.627,-70.217,0
15,0,245.585,-70.06,0
15,1,245.583,-70.033,0
15,2,245.588,-69.966,0
15,3,245.651,-70.112,0
15,4,245.642,-70.135,0
15,5,245.62,-70.073,0
15,6,245.668,-70.022,0
15,7,245.422,-69.792,0
15,8,245.538,-70.043,0
15,9,245.597,-70.141,0
16,0,245.558,-69.982,0
16,1,245.548,-69.958,0
16,2,245.558,-69.889,0
16,3,245.617,-70.037,0
16,4,245.61,-70.06,0
16,5,245.58,-70.001,0
16,6,245.633,-69.947,0
16,7,245.392,-69.715,0
16,8,245.506,-69.967,0
16,9,245.556,-70.069,0
17,0,245.538,-69.902,0
17,1,245.522,-69.88,0
17,2,245.53,-69.812,0
17,3,245.59,-69.959,0
17,4,245.565,-69.99,0
17,5,245.538,-69.929,0
17,6,245.596,-69.874,0
17,7,245.365,-69.637,0
17,8,245.48,-69.889,0
17,9,245.52,-69.995,0
18,0,245.51,-69.825,0
18,1,245.498,-69.801,0
18,2,245.504,-69.734,0
18,3,245.564,-69.881,0
18,4,245.535,-69.914,0
18,5,245.512,-69.852,0
18,6,245.575,-69.794,0
18,7,245.335,-69.561,0
18,8,245.458,-69.809,0
18,9,245.486,-69.92,0
19,0,245.483,-69.747,0
19,1,245.484,-69.72,0
19,2,245.494,-69.652,0
19,3,245.543,-69.801,0
19,4,245.516,-69.834,0
19,5,245.5,-69.77,0
19,6,245.553,-69.715,0
19,7,245.308,-69.483,0
19,8,245.447,-69.728,0
19,9,245.464,-69.841,0
20,0,245.466,-69.666,0
20,1,245.465,-69.64,0
20,2,245.473,-69.573,0
20,3,245.526,-69.721,0
20,4,245.49,-69.755,0
20,5,245.48,-69.691,0
20,6,245.535,-69.634,0
20,7,245.281,-69.405,0
20,8,245.448,-69.645,0
20,9,245.451,-69.76,0
21,0,245.454,-69.585,0
21,1,245.44,-69.562,0
21,2,245.444,-69.495,0
21,3,245.515,-69.639,0
21,4,245.478,-69.674,0
21,5,245.463,-69.61,0
21,6,245.521,-69.553,0
21,7,245.248,-69.329,0
21,8,245.434,-69.564,0
21,9,245.433,-69.679,0
22,0,245.426,-69.508,0
22,1,245.405,-69.487,0
22,2,245.411,-69.42,0
22,3,245.493,-69.56,0
22,4,245.461,-69.594,0
22,5,245.447,-69.529,0
22,6,245.488,-69.478,0
22,7,245.216,-69.254,0
22,8,245.408,-69.486,0
22,9,245.407,-69.601,0
23,0,245.387,-69.436,0
23,1,245.375,-69.41,0
23,2,245.378,-69.344,0
23,3,245.462,-69.483,0
23,4,245.436,-69.515,0
23,5,245.426,-69.45,0
23,6,245.448,-69.405,0
23,7,245.174,-69.183,0
23,8,245.381,-69.408,0
23,9,245.372,-69.526,0
24,0,245.356,-69.359,0
24,1,245.341,-69.336,0
24,2,245.333,-69.275,0
24,3,245.43,-69.408,0
24,4,245.399,-69.442,0
24,5,245.392,-69.374,0
24,6,245.414,-69.33,0
24,7,245.133,-69.112,0
24,8,245.355,-69.33,0
24,9,245.337,-69.452,0
25,0,245.317,-69.287,0
25,1,245.301,-69.263,0
25,2,245.288,-69.206,0
25,3,245.405,-69.329,0
25,4,245.367,-69.366,0
25,5,245.353,-69.302,0
25,6,245.379,-69.256,0
25,7,245.086,-69.044,0
25,8,245.324,-69.254,0
